"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","2","Guides page - Content rendering, search and responsiveness","26","0","","0"
"0","","3","Homepage marketing content and layout","53","0","","0"
"0","","0","Website Footer Content and Navigation","11","0","","0"
"0","","1","Who We Do It For page - Content rendering and responsiveness","65","0","","0"
"0","","0","Who We Are page - Content rendering, responsiveness, and CTAs","37","0","","0"
"0","","3","Blogs page - Content rendering, search and responsiveness","30","0","","0"
"0","","4","What We Do page - Content rendering, responsiveness, CTAs, and accessibility","32","0","","0"
"0","","0","Header navigation and branding","12","0","","0"
"0","","0","Contact Us page - Content rendering and form availability","11","0","","0"
"0","","2","Success Stories page - Content rendering, search and responsiveness","19","0","","0"
"0","","0","Events page - Content rendering and responsiveness","10","0","","0"
