"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","178","Company logo navigates to the homepage","","Fri Jan 23 12:39:11 UTC 2026","skipped","Fri Jan 23 12:39:11 UTC 2026","","","",""
"","178","Footer policy links navigate to the correct destinations -- @1.3 ","","Fri Jan 23 12:39:12 UTC 2026","skipped","Fri Jan 23 12:39:12 UTC 2026","","","",""
"","180","Navigation menu items redirect correctly -- @1.5 ","","Fri Jan 23 12:39:13 UTC 2026","skipped","Fri Jan 23 12:39:14 UTC 2026","","","",""
"","180","Navigation menu items redirect correctly -- @1.3 ","","Fri Jan 23 12:39:13 UTC 2026","skipped","Fri Jan 23 12:39:13 UTC 2026","","","",""
"","180","Footer policy links navigate to the correct destinations -- @1.2 ","","Fri Jan 23 12:39:12 UTC 2026","skipped","Fri Jan 23 12:39:12 UTC 2026","","","",""
"","179","Navigation menu items redirect correctly -- @1.1 ","","Fri Jan 23 12:39:13 UTC 2026","skipped","Fri Jan 23 12:39:13 UTC 2026","","","",""
"","179","Social media links open in a new browser tab -- @1.2 ","","Fri Jan 23 12:39:12 UTC 2026","skipped","Fri Jan 23 12:39:12 UTC 2026","","","",""
"","179","Navigation menu items redirect correctly -- @1.4 ","","Fri Jan 23 12:39:13 UTC 2026","skipped","Fri Jan 23 12:39:13 UTC 2026","","","",""
"","180","Footer policy links navigate to the correct destinations -- @1.1 ","","Fri Jan 23 12:39:12 UTC 2026","skipped","Fri Jan 23 12:39:12 UTC 2026","","","",""
"","178","Header adapts to responsive breakpoints -- @1.2 ","","Fri Jan 23 12:39:14 UTC 2026","skipped","Fri Jan 23 12:39:14 UTC 2026","","","",""
"","179","Header navigation menu is visible","","Fri Jan 23 12:39:13 UTC 2026","skipped","Fri Jan 23 12:39:13 UTC 2026","","","",""
"","180","Footer displays complete office details -- @1.2 ","","Fri Jan 23 12:39:11 UTC 2026","skipped","Fri Jan 23 12:39:11 UTC 2026","","","",""
"","179","Footer displays valid company contact email -- @1.1 ","","Fri Jan 23 12:39:11 UTC 2026","skipped","Fri Jan 23 12:39:11 UTC 2026","","","",""
"","179","Header exists and logo is visible","","Fri Jan 23 12:39:12 UTC 2026","skipped","Fri Jan 23 12:39:13 UTC 2026","","","",""
"","180","Footer displays available office locations","","Fri Jan 23 12:39:11 UTC 2026","skipped","Fri Jan 23 12:39:11 UTC 2026","","","",""
"","179","Footer displays complete office details -- @1.1 ","","Fri Jan 23 12:39:11 UTC 2026","skipped","Fri Jan 23 12:39:11 UTC 2026","","","",""
"","179","Navigation menu items redirect correctly -- @1.2 ","","Fri Jan 23 12:39:13 UTC 2026","skipped","Fri Jan 23 12:39:13 UTC 2026","","","",""
"","180","Header adapts to responsive breakpoints -- @1.1 ","","Fri Jan 23 12:39:14 UTC 2026","skipped","Fri Jan 23 12:39:14 UTC 2026","","","",""
"","3262","Footer is visibly rendered with correct branding -- @1.1 ","","Fri Jan 23 12:39:07 UTC 2026","skipped","Fri Jan 23 12:39:11 UTC 2026","","","",""
"","179","Social media links open in a new browser tab -- @1.1 ","","Fri Jan 23 12:39:11 UTC 2026","skipped","Fri Jan 23 12:39:12 UTC 2026","","","",""
